Modern Slavery Registry ID,Companies House Number
10920,01541168
18778,02918087
28536,04094541
10886,04827716
17539,02267184
21256,03127180
18058,01069133
17688,06447318
9914,04148298
7246,00876127
9875,05432915
7415,SC097840
16994,01198007
19068,05779755
16995,02948536
23360,07775453
17723,FC031853
23960,00201514
7417,02734823
24656,09753615
9464,OC318472
7419,SC324799
17335,03416346
7420,06737476
22953,01448245
22556,AC001827
10841,10491337
26014,AC001485
8981,03725015
23668,07830889
10653,00971479
8720,00549034
17844,OC303640
17648,02974751
25531,06666915
7421,10758692
10474,00367090
9596,00204368
26287,08079020
7422,01405855
28509,04648681
28510,01588612
21434,05369108
17911,07295935
8563,03296899
17108,06489797
7424,IP031138
7425,NI030731
7426,SC157176
16996,IP29199R
8564,04287490
18105,03560611
17428,03999896
17429,02294743
26571,03461815
18019,09111801
26798,09298216
26786,09299713
28173,10490695
24230,01623339
18040,02583215
18828,OC317554
26630,SC067627
